service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2022_09_12-SA-MVS-Saturday-33,0,0,0,0,0,1,0,20221001,20230211
2022_09_12-SU-MVS-Sunday-33,0,0,0,0,0,0,1,20221002,20230212
2022_09_12-DX-MVS-Weekday-36,1,1,1,1,1,0,0,20221003,20221202
2022_09_12-SA-MVS-Saturday-56,0,0,0,0,0,1,0,20221015,20221112
2022_09_12-SU-MVS-Sunday-56,0,0,0,0,0,0,1,20221016,20221113
2022_09_12-DX-MVS-Weekday-33,1,1,1,1,1,0,0,20221205,20230210
2022_09_12-SA19-Saturday-01,0,0,0,0,0,1,0,20221001,20230211
2022_09_12-SU19-Sunday-01,0,0,0,0,0,0,1,20221002,20230212
2022_09_12-DX19-Weekday-01,1,1,1,1,1,0,0,20221003,20230210
2022_09_12-SA20-Saturday-01,0,0,0,0,0,1,0,20221001,20230211
2022_09_12-SU20-Sunday-01,0,0,0,0,0,0,1,20221002,20230212
2022_09_12-DX20-Weekday-01,1,1,1,1,1,0,0,20221003,20230210
