fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,6.40,USD,1,,
2,3.60,USD,1,,
3,8.55,USD,1,,
4,3.60,USD,1,,
5,7.35,USD,1,,
6,5.90,USD,1,,
7,5.70,USD,1,,
8,5.50,USD,1,,
9,5.30,USD,1,,
10,5.25,USD,1,,
11,5.15,USD,1,,
12,5.00,USD,1,,
13,4.90,USD,1,,
14,4.90,USD,1,,
15,4.90,USD,1,,
16,5.20,USD,1,,
17,5.40,USD,1,,
18,5.75,USD,1,,
19,6.00,USD,1,,
20,6.30,USD,1,,
21,6.65,USD,1,,
22,7.20,USD,1,,
23,7.55,USD,1,,
24,6.30,USD,1,,
25,7.55,USD,1,,
26,8.00,USD,1,,
27,7.45,USD,1,,
28,3.60,USD,1,,
29,7.20,USD,1,,
30,6.75,USD,1,,
31,6.60,USD,1,,
32,6.20,USD,1,,
33,5.75,USD,1,,
34,5.15,USD,1,,
35,4.80,USD,1,,
36,4.35,USD,1,,
37,4.35,USD,1,,
38,4.35,USD,1,,
39,4.35,USD,1,,
40,4.15,USD,1,,
41,4.05,USD,1,,
42,3.80,USD,1,,
43,3.60,USD,1,,
44,3.60,USD,1,,
45,12.10,USD,1,,
46,8.05,USD,1,,
47,8.85,USD,1,,
48,9.10,USD,1,,
49,8.20,USD,1,,
50,8.90,USD,1,,
51,3.60,USD,1,,
52,6.40,USD,1,,
53,8.55,USD,1,,
54,3.60,USD,1,,
55,7.65,USD,1,,
56,6.20,USD,1,,
57,5.95,USD,1,,
58,5.80,USD,1,,
59,5.60,USD,1,,
60,5.50,USD,1,,
61,5.40,USD,1,,
62,5.30,USD,1,,
63,5.20,USD,1,,
64,5.20,USD,1,,
65,5.20,USD,1,,
66,5.50,USD,1,,
67,5.70,USD,1,,
68,6.00,USD,1,,
69,6.30,USD,1,,
70,6.60,USD,1,,
71,6.95,USD,1,,
72,7.50,USD,1,,
73,7.85,USD,1,,
74,6.60,USD,1,,
75,7.85,USD,1,,
76,8.30,USD,1,,
77,7.70,USD,1,,
78,3.60,USD,1,,
79,7.50,USD,1,,
80,7.05,USD,1,,
81,6.85,USD,1,,
82,6.45,USD,1,,
83,6.05,USD,1,,
84,5.45,USD,1,,
85,5.10,USD,1,,
86,4.80,USD,1,,
87,4.80,USD,1,,
88,4.80,USD,1,,
89,4.80,USD,1,,
90,4.60,USD,1,,
91,4.50,USD,1,,
92,4.20,USD,1,,
93,4.05,USD,1,,
94,3.60,USD,1,,
